,PE,ROE,Sector
TMUS,20.330853,0.18024999,Communication Services
TROW,11.139485,0.18688999,Financial Services
TTWO,,-0.105579995,Communication Services
TPR,42.87195,0.60914004,Consumer Cyclical
TRGP,27.539797,0.74097997,Energy
TGT,16.547493,0.22015,Consumer Defensive
TEL,21.329245,0.22719999,Technology
TDY,31.84432,0.09049,Technology
TER,71.92976,0.2875,Technology
TSLA,401.4722,0.04901,Consumer Cyclical
TXN,55.536755,0.32347,Technology
TPL,54.957417,0.36466,Energy
TXT,17.687023,0.12254,Industrials
TMO,24.625273,0.13523,Healthcare
TJX,30.988304,0.6125,Consumer Cyclical
TKO,69.92193,0.06736,Communication Services
TTD,25.204546,0.16735001,Communication Services
TSCO,14.679803,0.45504,Consumer Cyclical
TT,35.223663,0.36630002,Industrials
TDG,38.3125,,Industrials
TRV,9.099701,0.25272,Financial Services
TRMB,29.497383,0.08252,Technology
TFC,12.049505,0.08579001,Financial Services
TYL,42.398624,0.08930001,Technology
TSN,51.283463,0.02619,Consumer Defensive
USB,11.57652,0.123500004,Financial Services
UBER,17.399504,0.3531,Technology
UDR,25.870747,0.123500004,Real Estate
ULTA,20.118519,0.43595,Consumer Cyclical
UNP,22.312757,0.40686,Industrials
UAL,9.465594,0.25726998,Industrials
UPS,16.5,0.33353,Industrials
URI,24.63341,0.28237,Industrials
UNH,28.399395,0.121759996,Healthcare
UHS,6.5398746,0.21369,Healthcare
VLO,17.636961,0.1585,Energy
VEEV,29.143381,0.13933,Healthcare
VTR,160.67273,0.0214,Real Estate
VLTO,22.177835,0.36463,Industrials
VRSN,33.90718,,Technology
VRSK,26.157011,,Industrials
VZ,11.82683,0.17198,Communication Services
VRTX,25.840544,0.24197,Healthcare
VRT,81.38442,0.45097,Industrials
VTRS,,-0.01957,Healthcare
VICI,9.80137,0.11331,Real Estate
V,28.488657,0.60349,Financial Services
VST,27.56449,0.42898,Utilities
VMC,31.864931,0.13458,Basic Materials
WRB,14.264832,0.20164,Financial Services
GWW,33.554123,0.46129,Industrials
WAB,37.03541,0.11305001,Industrials
WMT,41.60351,0.24132,Consumer Defensive
DIS,16.5248,0.1101,Communication Services
WBD,,-0.049590003,Communication Services
WM,31.138727,0.29936,Industrials
WAT,43.08397,0.05212,Healthcare
WEC,22.643288,0.11679,Utilities
WFC,11.981453,0.12028,Financial Services
WELL,105.376816,0.03665,Real Estate
WST,42.212288,0.19131,Healthcare
WDC,31.453838,0.85920995,Technology
WY,42.535713,0.04161,Real Estate
WSM,22.215006,0.54007,Consumer Cyclical
WMB,33.482456,0.19656,Energy
WTW,15.052848,0.20611,Financial Services
WDAY,38.635513,0.10858,Technology
WYNN,28.04298,,Consumer Cyclical
XEL,23.27954,0.0959,Utilities
XYL,27.644278,0.08724,Industrials
YUM,24.800322,,Consumer Cyclical
ZBRA,30.487925,0.11781,Technology
ZBH,21.867878,0.060650002,Healthcare
ZTS,13.15246,0.67748,Healthcare
